common tag ( try to make this based on subject),Domain,knowlegde set,skill knowledge,engineering programs ,subject and co to map ,,,,
electronics,Embedded systems,microprocessors - Advanced Programming,Memory management - BL5,CS,"Principals of Programming with C-CO5[Apply the concepts of pointers, files and dynamic memory allocation in C Programs.](CS122I3C/CS222I3C)",,,,
electronics,Embedded systems,microprocessors - Advanced Programming,Multi-threading and process management -BL3,ECE,ARM Embedded Systems-CO5[Explain the need for a time operating system for embedded system applications.](21EC753),VLSI Laboratory-CO1[Comprehend the knowledge and concepts of digital signal processing techniques and apply the knowledge of DSP computational building blocks to achieve speed in DSP architecture or processor.](21ECL66),"VLSI Laboratory-CO2[Apply knowledge of various types of addressing modes, interrupts, peripherals and pipelining structure of TMS320C54xx processor.](21ECL66)",VLSI Laboratory-CO3[Develop basic DSP algorithms using DSP processors.](21ECL66),
electronics,Embedded systems,microprocessors - Advanced Programming,Multi-threading and process management -BL4,ISE,OPERATING SYSTEMS-CO1[Identify the structure of an operating system and concept of Process along with inter- process communication.](CS422I2C),OPERATING SYSTEMS-CO3[Demonstrate the concepts of Process synchronization and Identify root causes of deadlock to provide the solution for deadlock elimination.](CS422I2C),OBJECT ORIENTED PROGRAMMING CONCEPTS-CO4[Utilize the concept of Threading and multi-thread programming in real time applications.](CS322I3C),WEB TECHNOLOGY AND APPLICATIONS-CO2[Apply the concepts of multi-threading and CPU scheduling algorithms by considering different scheduling criteria.](CS422I1C),OPERATING SYSTEMS-CO2[Apply the concepts of multi-threading and CPU scheduling algorithms by considering different scheduling criteria.](CS422I2C)
electronics,Embedded systems,microprocessors - Advanced Programming,Multi-threading and process management -BL5,CSE,Object Oriented Programming Concepts-CO4[Utilize the concept of Threading and multi-thread programming in real time applications.](CS322I3C),Operating Systems-CO2[Apply the concepts of multi-threading and CPU scheduling algorithms by considering different scheduling criteria.](CS422I2C),"Computer Organization and Architecture-CO6[Analyze the functions of basic processing unit, Parallel processing and pipelining](CS422T3C)",,
electronics,Embedded systems,microprocessors - Advanced Programming,Debugging with in-circuit emulators -BL3,ECE,Simulink Programming Basics -CO5[Design a circuit that develops the sampled waveform.](EC32298ED),VLSI Design & Testing-CO5[Investigate the accuracy of digital circuits and manufacturing test concepts using logic verification techniques.](21EC63),Communication Laboratory -CO5[Simulate the functioning of analog and digital modulation methods using SCILAB/ MATLAB.](EC422L5E),Electronics Devices -CO5[Design and Simulation of electronic devices using EDA software](EC42297EC),PCB Design -CO3[Using circuit theory and component specifications to construct practical circuits such asblinking LEDs and traffic light simulators](EC42297EA)
electronics,Embedded systems,microprocessors - Advanced Programming,Debugging with in-circuit emulators -BL4,RA,ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO3[Analyze the Virtual instrumentation using in VI software. ](EC422I1R),ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO3[Analyze the Virtual instrumentation using in VI software. ](EC422I1R),ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO3[Analyze the Virtual instrumentation using in VI software. ](EC422I1R),ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO3[Analyze the Virtual instrumentation using in VI software. ](EC422I1R),ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO3[Analyze the Virtual instrumentation using in VI software. ](EC422I1R)
electronics,Embedded systems,microprocessors - Advanced Programming,Debugging with in-circuit emulators -BL5,CS,Introduction to Electronics Engineering-CO3[Apply the concepts of digital logic engineering in data representation and digital circuits.](EC122T4X/EC222T4X),,,,
electronics,Embedded systems,microprocessors - Advanced Programming,Designing custom instruction sets - BL3,ECE,ARM Embedded Systems-CO1[Describe the architectural features and instructions of the 32-bit microcontroller ARM Cortex M3.](21EC753),Computer Organization & ARM Microcontrollers -CO3[Describe the instruction set of 32-bit microcontroller ARM Cortex M3 and apply the knowledge gained in programming ARM Cortex M3 for different applications.](21EC62),Computer Organization & ARM Microcontrollers -CO4[Demonstrate the instructions involved in Programming ARM Cortex M3 for different applications.](21EC62),,
electronics,Embedded systems,microprocessors - Advanced Programming,Designing custom instruction sets - BL4,RA,"MICROCONTROLLER AND PLC -CO1[Explain the difference between Microprocessors & Microcontrollers, Architecture of 8051 Microcontroller, Instruction set of 8051, Interfacing of 8051 to external memory.](21AR62)",MICROCONTROLLER AND PLC -CO2[Write 8051 Assembly level programs using 8051 instructions set.](21AR62),MICROCONTROLLER AND PLC -CO2[Write 8051 Assembly level programs using 8051 instructions set.](21AR62),,
electronics,Embedded systems,microprocessors - Advanced Programming,Designing custom instruction sets - BL5,AIML,Digital Logic Design and Computer Organization-CO5[Explain the functions of basic processing unit and the instructions associated with it.](AM322I2A),,,,
